f0_,f1_
2020-09-35-01,33
2020-09-35-02,16
2020-09-35-03,41
2020-09-35-04,7
2020-09-35-05,3
2020-09-36-06,10
2020-09-36-07,23
2020-09-36-08,32
2020-09-36-09,19
2020-09-36-10,16
2020-09-36-11,10
2020-09-36-12,12
2020-09-37-13,10
2020-09-37-14,34
2020-09-37-15,80
2020-09-37-16,21
2020-09-37-17,25
2020-09-37-18,18
2020-09-37-19,5
2020-09-38-20,6
2020-09-38-21,40
2020-09-38-22,25
2020-09-38-23,31
2020-09-38-24,27
2020-09-38-25,40
2020-09-38-26,23
2020-09-39-27,9
2020-09-39-28,20
2020-09-39-29,24
2020-09-39-30,31
2020-10-39-01,25
2020-10-39-02,11
2020-10-39-03,10
2020-10-40-04,4
2020-10-40-05,15
2020-10-40-06,31
2020-10-40-07,26
2020-10-40-08,43
2020-10-40-09,20
2020-10-40-10,8
2020-10-41-11,13
2020-10-41-12,15
2020-10-41-13,35
2020-10-41-14,32
2020-10-41-15,14
2020-10-41-16,8
2020-10-41-17,2
2020-10-42-18,10
2020-10-42-19,22
2020-10-42-20,58
2020-10-42-21,33
2020-10-42-22,53
2020-10-42-23,39
2020-10-42-24,10
2020-10-43-25,13
2020-10-43-26,62
2020-10-43-27,36
2020-10-43-28,32
2020-10-43-29,15
2020-10-43-30,23
2020-10-43-31,15
2020-11-44-01,10
2020-11-44-02,30
2020-11-44-03,52
2020-11-44-04,33
2020-11-44-05,64
2020-11-44-06,16
2020-11-44-07,30
2020-11-45-08,6
2020-11-45-09,40
2020-11-45-10,44
2020-11-45-11,21
2020-11-45-12,44
2020-11-45-13,27
2020-11-45-14,6
2020-11-46-15,6
2020-11-46-16,15
2020-11-46-17,41
2020-11-46-18,28
2020-11-46-19,33
2020-11-46-20,34
2020-11-46-21,7
2020-11-47-22,11
2020-11-47-23,37
2020-11-47-24,33
2020-11-47-25,50
2020-11-47-26,25
2020-11-47-27,13
2020-11-47-28,14
2020-11-48-29,16
2020-11-48-30,25
2020-12-48-01,16
2020-12-48-02,16
2020-12-48-03,16
2020-12-48-04,11
2020-12-48-05,3
2020-12-49-06,7
2020-12-49-07,21
2020-12-49-08,43
2020-12-49-09,22
2020-12-49-10,20
2020-12-49-11,36
2020-12-49-12,6
2020-12-50-13,7
2020-12-50-14,25
2020-12-50-15,19
2020-12-50-16,43
2020-12-50-17,28
2020-12-50-18,21
2020-12-50-19,19
2020-12-51-20,23
2020-12-51-21,27
2020-12-51-22,29
2020-12-51-23,15
2020-12-51-24,14
2020-12-51-25,8
2020-12-51-26,7
2020-12-52-27,6
2020-12-52-28,6
2020-12-52-29,12
2020-12-52-30,5
2020-12-52-31,11
2021-01-00-01,9
2021-01-00-02,13
2021-01-01-03,23
2021-01-01-04,15
2021-01-01-05,26
2021-01-01-06,36
2021-01-01-07,37
